Year,EXP,GDP,IMP,
1960,4128120278,10075038172,3607029928,
1961,4356591152,10840538967,3772446276,
1962,4566023276,11536613184,4048536953,
1963,4833252793,12383262559,4085428314,
1964,4665299253,13046877007,3980704369,
1965,5052204401,14049511693,4245489657,
1966,5367711935,15147721422,4286546445,
1967,5655340890,15731991228,4363304441,
1968,6552226249,16987088645,4510274999,
1969,6904452571,17817508190,4582867869,
1970,7246479405,18884160201,5366513227,
1971,7359354790,20779121580,5353422716,
1972,7508268985,22729957979,5191576473,
1973,8573788026,25389608913,6056739700,
1974,9939174687,27501684655,8287481094,
1975,9641346298,27721991875,6870731699,
1976,11276683312,30927621571,7502050999,
1977,11745865107,33325458128,8686147307,
1978,12637310475,35542898192,9804194863,
1979,14907743269,38865839262,11807637763,
1980,15380324687,41758167698,14229382052,
1981,15252489828,44657063211,15024927520,
1982,16881026459,47311100560,17091442720,
1983,18963785440,50269099768,18630173397,
1984,21577604943,54170881787,19842234091,
1985,21674160978,53615494685,17890559471,
1986,24228822563,54280645792,16733239891,
1987,27755846152,57098860071,18151178755,
1988,30780806369,62773184723,21729634769,
1989,35457578938,68460184710,27314437336,
1990,41775817874,74627439030,34494181728,
1991,48364007144,81750976904,43189871207,
1992,54455837690,89014647651,45942775983,
1993,60741422353,97822596595,52850376443,
1994,74047878402,1.07E+11,66398920830,
1995,88090708975,1.17E+11,82134177468,
1996,96219679964,1.29E+11,86146870542,
1997,1.02E+11,1.39E+11,91164560415,
1998,1.02E+11,1.28E+11,74067697632,
1999,1.15E+11,1.36E+11,81891714838,
2000,1.34E+11,1.48E+11,1.02E+11,
2001,1.25E+11,1.49E+11,93464854692,
2002,1.32E+11,1.57E+11,99246537319,
2003,1.38E+11,1.66E+11,1.04E+11,
2004,1.61E+11,1.77E+11,1.24E+11,
2005,1.74E+11,1.87E+11,1.35E+11,
2006,1.86E+11,1.97E+11,1.46E+11,
2007,1.94E+11,2.10E+11,1.55E+11,
2008,1.97E+11,2.20E+11,1.59E+11,
2009,1.75E+11,2.17E+11,1.38E+11,
2010,1.94E+11,2.33E+11,1.60E+11,
2011,2.02E+11,2.45E+11,1.70E+11,
2012,1.98E+11,2.58E+11,1.75E+11,
2013,1.99E+11,2.71E+11,1.78E+11,
2014,2.09E+11,2.87E+11,1.85E+11,
2015,2.09E+11,3.01E+11,1.87E+11,
2016,2.12E+11,3.15E+11,1.89E+11,
2017,2.30E+11,3.33E+11,2.09E+11,
2018,2.35E+11,3.49E+11,2.12E+11,
2019,2.32E+11,3.64E+11,2.07E+11,
2020,2.12E+11,3.44E+11,1.89E+11,
