Year,DLGDP,DLEXP,DLIMP,DLIMP1,DLNEX,DLEXP1
1962,6.2233018,4.695274,7.0631899,4.4838972,-8.815698,5.3867741
1963,7.0820034,5.6877051,0.9071004,7.0631899,27.59213,4.695274
1964,5.2203028,-3.5367716,-2.5967792,0.9071004,-6.802406,5.6877051
1965,7.4038845,7.9672682,6.4398381,-2.5967792,12.778868,-3.5367716
1966,7.5262479,6.0577072,0.9624222,6.4398381,23.77851,7.9672682
1967,3.7846178,5.2198654,1.7748285,0.9624222,15.082289,6.0577072
1968,7.6757267,14.7204488,3.3128457,1.7748285,40.546511,5.2198654
1969,4.7728016,5.2361626,1.5966847,3.3128457,11.728909,14.7204488
1970,5.8141906,4.8349248,15.7853417,1.5966847,-19.105524,5.2361626
1971,9.5625226,1.5456513,-0.2442275,15.7853417,6.034313,4.8349248
1972,8.9735077,2.003268,-3.0698713,-0.2442275,13.071211,1.5456513
1973,11.0656203,13.27047,15.4134249,-3.0698713,7.608231,2.003268
1974,7.9907271,14.7774343,31.3574422,15.4134249,-38.372512,13.27047
1975,0.7978766,-3.0423231,-18.7475467,31.3574422,47.134681,14.7774343
1976,10.9423658,15.6676414,8.7905843,-18.7475467,28.935852,-3.0423231
1977,7.4671927,4.0764103,14.6553043,8.7905843,-19.649183,15.6676414
1978,6.4418753,7.3152314,12.1080848,14.6553043,-7.293247,4.0764103
1979,8.937533,16.5227173,18.5936249,12.1080848,8.509067,7.3152314
1980,7.1779369,3.1208314,18.6562395,18.5936249,-88.946349,16.5227173
1981,6.711742,-0.8346318,5.4401671,18.6562395,-113.302107,3.1208314
1982,5.7732467,10.1447539,12.8867256,5.4401671,-1989.772947,-0.8346318
1983,6.0645617,11.6340834,8.6204579,12.8867256,2011.445981,10.1447539
1984,7.4752958,12.9124838,6.3030209,8.6204579,127.66354,11.6340834
1985,-1.0305421,0.4464844,-10.3539531,6.3030209,71.596186,12.9124838
1986,1.2329626,11.1422127,-6.6876016,-10.3539531,65.872696,0.4464844
1987,5.061642,13.5903551,8.133835,-6.6876016,24.088409,11.1422127
1988,9.4743835,10.3444836,17.9941483,8.133835,-5.769822,13.5903551
1989,8.6724344,14.1445697,22.8738416,17.9941483,-10.344251,10.3444836
1990,8.6255924,16.398063,23.3375262,22.8738416,-10.869274,14.1445697
1991,9.1169505,14.6438231,22.4815341,23.3375262,-33.088042,16.398063
1992,8.5123177,11.8634173,6.1790617,22.4815341,48.293086,14.6438231
1993,9.4354663,10.9235821,14.0068213,6.1790617,-7.375518,11.8634173
1994,8.9673235,19.8086013,22.8215969,14.0068213,-3.007746,10.9235821
1995,8.93451,17.3655178,21.2673417,22.8215969,-24.208777,19.8086013
1996,9.763847,8.8266843,4.7699416,21.2673417,51.341546,17.3655178
1997,7.4661529,5.8338903,5.6612593,4.7699416,6.568965,8.8266843
1998,-8.2443669,0,-20.7686722,5.6612593,93.732143,5.8338903
1999,6.0624622,11.9959315,10.0418316,-20.7686722,16.973227,0
2000,8.4557388,15.2907672,21.9574989,10.0418316,-3.358069,11.9959315
2001,0.6734032,-6.9526063,-8.7387333,21.9574989,-1.564487,15.2907672
2002,5.2299499,5.4488185,6.0021551,-8.7387333,4.017846,-6.9526063
2003,5.5741983,4.4451763,4.6783869,6.0021551,3.570745,5.4488185
2004,6.4161944,15.415068,17.5890666,4.6783869,8.405954,4.4451763
2005,5.4958884,7.7650934,8.4993213,17.5890666,5.235427,15.415068
2006,5.2095112,6.6691374,7.8331843,8.4993213,2.51839,7.7650934
2007,6.3903802,4.2111485,5.9818495,7.8331843,-2.51839,6.6691374
2008,4.6520016,1.534557,2.5479085,5.9818495,-2.583455,4.2111485
2009,-1.3730193,-11.8417755,-14.1650517,2.5479085,-2.651972,1.534557
2010,7.11411,10.3072185,14.792013,-14.1650517,-8.405954,-11.8417755
2011,5.0219757,4.0409538,6.0624622,14.792013,-6.024104,10.3072185
2012,5.1701374,-2.0000667,2.8987537,6.0624622,-32.769374,4.0409538
2013,4.9159236,0.5037794,1.6997576,2.8987537,-9.011045,-2.0000667
2014,5.7363395,4.9029427,3.8572275,1.6997576,13.2293,0.5037794
2015,4.7628049,0,1.0752792,3.8572275,-8.622313,4.9029427
2016,4.5462374,1.4252023,1.0638398,1.0752792,4.404058,0
2017,5.5569851,8.1493034,10.0587237,1.0638398,-9.011045,1.4252023
2018,4.6929432,2.1506205,1.4252023,10.0587237,9.011045,8.1493034
2019,4.2081945,-1.2848142,-2.3867481,1.4252023,8.265752,2.1506205
2020,-5.651221,-9.0151097,-9.0971778,-2.3867481,-8.265752,-1.2848142
